,index,rsq_adj,slope_val,int_pval,log_slope_pval,log_int_pval,int_val,log_slope_val,slope_pval,log_int_val,log_rsq_adj,log_rsq,rsq,subj_id,sub_id
0,wfpt,-1.0072234978730776e-05,-0.0013856907053772867,0.0,0.7638348163256041,0.0,0.46286417690467896,-0.0011993529328684222,0.7044560323371762,1.2351024093926068,-1.0702945374641004e-05,1.0620248360737605e-06,1.6927278118084033e-06,0,s339
0,wfpt,-5.0096674244493045e-06,-0.002654720147620606,0.0,0.42374328811495976,0.0,0.5243059802198413,-0.0027927195398458476,0.4476146945506633,1.2564248772961197,-4.261411914230351e-06,7.573098096513853e-06,6.824851441544766e-06,0,s346
0,wfpt,-3.987330165156067e-06,-0.0036685703609756802,0.0,0.6679896672883459,0.0,0.4458167313602889,-0.0018843382468602572,0.4161803968641029,1.2380248341331774,-9.60062916854909e-06,2.1643280736505233e-06,7.777561037425329e-06,0,s357
0,wfpt,3.319247317878915e-05,-0.007724703014289028,0.0,0.03785185204172926,0.0,0.53702554952023,-0.008779119809261628,0.05060458950725923,1.2711203583287163,3.896131387925994e-05,5.072569979769348e-05,4.49569269667105e-05,0,s359
0,wfpt,1.10710531975311e-06,0.004614042160555978,0.0,0.20594434200060685,0.0,0.4510597149012123,0.0058084233501858665,0.2955668871621567,1.2311259236813492,7.055730381511083e-06,1.8820491664128802e-05,1.2871936587055544e-05,0,s365
0,wfpt,-4.363489268133236e-06,0.003193810178223855,0.0,0.5042581798032878,0.0,0.4243056839446309,0.002843510097458743,0.42768439623872656,1.227400620110294,-6.518153391255055e-06,5.246767585953549e-06,7.401406359908158e-06,0,s368
0,wfpt,-1.1517117615378325e-05,0.0004555053112419039,0.0,0.8326078155858424,0.0,0.5714156307139652,0.0006660983722555844,0.8845947666211057,1.271818896634655,-1.1239405145690995e-05,5.255713764196202e-07,2.478621738966069e-07,0,s369
0,wfpt,-2.2664980003916924e-07,-0.0032817023332253475,0.0,0.3391323104234506,0.0,0.4992753445921312,-0.003054150875176305,0.32202023342402697,1.255446507749842,-1.015084069244665e-06,1.0749772165308258e-05,1.1538197158711405e-05,0,s372
0,wfpt,-1.0255175818540962e-05,-0.0016340614993397228,3.1204211276458604e-89,0.9241375593086887,0.0,-0.06101671961755925,-0.00030461884580077056,0.6464789957173397,1.0384102532778072,-1.2873932988322068e-05,1.1780273623251958e-07,2.732139019023805e-06,0,s373
0,wfpt,-7.13679102437581e-06,-0.002866609502709236,0.0,0.4607073106736713,0.0,0.39817391333869956,-0.0035268912288488607,0.5305275347270666,1.226153718105427,-5.362672409248148e-06,6.402234974056675e-06,4.628137231121876e-06,0,s374
0,wfpt,-1.0902090512132645e-05,-0.0011015722808889131,0.0,0.8211146719360715,0.0,0.40373037757380453,-0.0009272223129294793,0.7865303635116028,1.2255151587404547,-1.1163470741371029e-05,6.01504887232096e-07,8.628820413747462e-07,0,s376
0,wfpt,1.1699751334415254e-06,0.004102657999745504,0.0,0.25533383221087014,0.0,0.38677894118704437,0.004749118232394656,0.29439051483706874,1.2141574692027899,3.45766595899466e-06,1.5222469572306885e-05,1.293480566111338e-05,0,s380
0,wfpt,-9.288044372279813e-06,-0.0021351379662322666,0.0,0.532941511685201,0.0,0.5038863443827358,-0.0022741688145021116,0.5935501157134402,1.2559022605298988,-7.938045805122584e-06,5.049238939403011e-06,3.6992579049988095e-06,0,s383
0,wfpt,3.0305805114316797e-05,-0.006573766460006678,0.0,0.0669368296846622,0.0,0.5420545403242043,-0.006405680614074177,0.05915951532770276,1.2696065957817817,2.788913101425816e-05,3.972326054080266e-05,4.213990604073903e-05,0,s384
0,wfpt,-1.177412640718245e-05,0.0006506421853767165,0.0,0.7165582403387012,0.0,0.5735219901343882,0.001402496621688662,0.8655720271669218,1.2638409591079454,-1.0523689933261693e-05,1.5977966748570438e-06,3.473753579230632e-07,0,s388
0,wfpt,-8.5445352664415e-06,-0.0021127131743857988,0.0,0.9139566070325558,0.0,0.5170767070093567,-0.000493406595775292,0.6008424217693342,1.2559517965461728,-1.1627628291099867e-05,1.3735279835724867e-07,3.2204095508081565e-06,0,s391
